person_id,source,collected_at,total_citations,h_index,i10_index,citations_5yr,h_index_5yr,works_count,raw_json
122,pop,2026-09-13,10,1,,,,,"{""workbook_row"": {""Name"": ""Emily Barrett"", ""Year"": 2025, ""Cites2017"": 10, ""%Cites2017"": 0.024, ""%Rank"": 0.05, ""H-Index"": 1, ""%RankH"": 0, ""CurrentSchool"": ""Georgia Tech"", ""Position"": ""Assistant Professor"", ""PhDYear"": 2025, ""PhDSchool"": ""Vanderbilt University"", ""Years"": 0, ""First"": ""Emily"", ""Last"": ""Barrett""}}"
126,pop,2026-09-13,625,10,,,,,"{""workbook_row"": {""Name"": ""William Drummond"", ""Year"": 1989, ""Cites2017"": 625, ""%Cites2017"": 0.396, ""%Rank"": 0.395, ""H-Index"": 10, ""%RankH"": 0.335, ""CurrentSchool"": ""Georgia Tech"", ""Position"": ""Associate Professor"", ""PhDYear"": 1989, ""PhDSchool"": ""UNC"", ""Years"": 36, ""CY2017"": 17.36111111111111, ""First"": ""William"", ""Middle"": ""J."", ""Last"": ""Drummond"", ""Interests"": ""Computer Applications, Historic Preservation, Geographic Information Systems, Land Use/ Growth Management, Quantitative Methods"", ""ResearchGate"": ""https://researchgate.net/profile/William_Drummond2"", ""LinkedIn"": ""https://linkedin.com/in/bill-drummond-14950b9""}}"
137,pop,2026-09-13,1695,15,,,,,"{""workbook_row"": {""Name"": ""Jerold Kayden"", ""Year"": 1979, ""Cites2017"": 1695, ""%Cites2017"": 0.63, ""%Rank"": 0.398, ""H-Index"": 15, ""%RankH"": 0.516, ""CurrentSchool"": ""Harvard University"", ""Position"": ""Professor"", ""PhDYear"": 1979, ""PhDSchool"": ""Harvard University"", ""Years"": 46, ""CY2017"": 36.84782608695652, ""First"": ""Jerold"", ""Middle"": ""S."", ""Last"": ""Kayden"", ""Interests"": ""Planning and Environmental Law, Public and Private Development, International Planning and Development, Public Space, Historic Preservation""}}"
139,pop,2026-09-13,1335,15,,,,,"{""workbook_row"": {""Name"": ""Rahul Mehrotra"", ""Year"": 1987, ""Cites2017"": 1335, ""%Cites2017"": 0.571, ""%Rank"": 0.334, ""H-Index"": 15, ""%RankH"": 0.516, ""CurrentSchool"": ""Harvard University"", ""Position"": ""Professor"", ""PhDYear"": 1987, ""PhDSchool"": ""Harvard University"", ""Years"": 38, ""CY2017"": 35.13157894736842, ""First"": ""Rahul"", ""Last"": ""Mehrotra"", ""Interests"": ""Physical Planning/Urban Design, International Planning, Historic Preservation""}}"
141,pop,2026-09-13,3996,28,,,,,"{""workbook_row"": {""Name"": ""Richard Peiser"", ""Year"": 1980, ""Cites2017"": 3996, ""%Cites2017"": 0.836, ""%Rank"": 0.66, ""H-Index"": 28, ""%RankH"": 0.832, ""CurrentSchool"": ""Harvard University"", ""Position"": ""Professor"", ""PhDYear"": 1980, ""PhDSchool"": ""University of Cambridge"", ""Years"": 45, ""CY2017"": 88.8, ""First"": ""Richard"", ""Middle"": ""B."", ""Last"": ""Peiser"", ""Interests"": ""New Towns, Development Finance, International Development, Real Estate"", ""ResearchGate"": ""https://researchgate.net/profile/Richard_Peiser"", ""LinkedIn"": ""https://linkedin.com/in/richard-peiser-3a6942a""}}"
142,pop,2026-09-13,4790,23,,,,,"{""workbook_row"": {""Name"": ""Peter Rowe"", ""Year"": 1986, ""Cites2017"": 4790, ""%Cites2017"": 0.87, ""%Rank"": 0.722, ""H-Index"": 23, ""%RankH"": 0.744, ""CurrentSchool"": ""Harvard University"", ""Position"": ""Professor"", ""PhDYear"": 1986, ""PhDSchool"": ""Harvard University"", ""Years"": 39, ""CY2017"": 122.82051282051282, ""First"": ""Peter"", ""Middle"": ""G."", ""Last"": ""Rowe"", ""Interests"": ""Housing and Neighborhood Planning, Physical Planning/ Urban Design, Planning History, Planning Theory, International Planning and Design"", ""ResearchGate"": ""https://researchgate.net/profile/Peter_Rowe8"", ""LinkedIn"": ""https://linkedin.com/in/peter-rowe-168ba646""}}"
147,pop,2026-09-13,770,11,,,,,"{""workbook_row"": {""Name"": ""Nicholas Bloom"", ""Year"": 1999, ""Cites2017"": 770, ""%Cites2017"": 0.454, ""%Rank"": 0.232, ""H-Index"": 11, ""%RankH"": 0.374, ""CurrentSchool"": ""Hunter College"", ""Position"": ""Professor"", ""PhDYear"": 1999, ""PhDSchool"": ""Brandeis University"", ""Years"": 26, ""First"": ""Nicholas"", ""Last"": ""Bloom""}}"
153,pop,2026-09-13,143,6,,,,,"{""workbook_row"": {""Name"": ""Sigmund Shipp"", ""Year"": 1990, ""Cites2017"": 143, ""%Cites2017"": 0.166, ""%Rank"": 0.137, ""H-Index"": 6, ""%RankH"": 0.173, ""CurrentSchool"": ""Hunter College"", ""Position"": ""Associate Professor"", ""PhDYear"": 1990, ""PhDSchool"": ""Howard University"", ""Years"": 35, ""CY2017"": 4.085714285714285, ""First"": ""Sigmund"", ""Last"": ""Shipp"", ""Interests"": ""economic development, community development, cultural competency and diversity, poverty""}}"
155,pop,2026-09-13,96,5,,,,,"{""workbook_row"": {""Name"": ""John Benhart"", ""Year"": 1995, ""Cites2017"": 96, ""%Cites2017"": 0.12, ""%Rank"": 0.047, ""H-Index"": 5, ""%RankH"": 0.129, ""CurrentSchool"": ""Indiana University of Pennsylvania"", ""Position"": ""Professor"", ""PhDYear"": 1995, ""PhDSchool"": ""University of Tennessee"", ""Years"": 30, ""CY2017"": 3.2, ""First"": ""John"", ""Middle"": ""E."", ""Last"": ""Benhart"", ""Interests"": ""Environmental Planning, Geographic Information Systems, Transportation, Urbanization"", ""LinkedIn"": ""https://linkedin.com/in/john-benhart-74280132""}}"
157,pop,2026-09-13,55,3,,,,,"{""workbook_row"": {""Name"": ""Richard Hoch"", ""Year"": 2005, ""Cites2017"": 55, ""%Cites2017"": 0.074, ""%Rank"": 0.019, ""H-Index"": 3, ""%RankH"": 0.051, ""CurrentSchool"": ""Indiana University of Pennsylvania"", ""Position"": ""Professor"", ""PhDYear"": 2005, ""PhDSchool"": ""West Virginia University"", ""Years"": 20, ""CY2017"": 2.75, ""First"": ""Richard"", ""Middle"": ""J."", ""Last"": ""Hoch"", ""Interests"": ""Environmental Planning, Geospatial Applications for Land Use Planning, Urban Development"", ""LinkedIn"": ""https://linkedin.com/in/richard-hoch-3aa24610""}}"
